,CIERRE,
2011.18,37133,
2011.184,36900.8,
2011.188,36603.3,
2011.192,36688.1,
2011.196,36450.2,
2011.2,35891.4,
2011.204,36091.2,
2011.208,36205.8,
2011.212,36012.2,
2011.216,35655.3,
2011.22,35621.7,
2011.224,35418.5,
2011.228,35925.4,
2011.232,36546.6,
2011.236,36872.4,
2011.24,36784.3,
2011.244,36767.9,
2011.248,36795.9,
2011.252,37210.3,
2011.256,37440.5,
2011.26,37775.1,
2011.264,37903.6,
2011.268,37833,
2011.272,37861.8,
2011.276,37471.5,
2011.28,37471.7,
2011.284,37590.7,
2011.288,37321.8,
2011.292,37347.7,
2011.296,37070,
2011.3,36988.4,
2011.304,36332.1,
2011.308,36440.2,
2011.312,36816.3,
2011.316,36860.7,
2011.32,36892.2,
2011.324,36826.9,
2011.328,36722.6,
2011.332,36962.6,
2011.336,36592.6,
2011.34,35873.2,
2011.344,35531.2,
2011.348,35325.1,
2011.352,35212.2,
2011.356,35467,
2011.36,35678.9,
2011.364,35380.5,
2011.368,35161.3,
2011.372,35045.1,
2011.376,35130.6,
2011.38,34819.6,
2011.384,35364.3,
2011.388,35276.5,
2011.392,35298.7,
2011.396,35215,
2011.4,35382.6,
2011.404,35498.4,
2011.408,35742.2,
2011.412,35819.2,
2011.416,35639.4,
2011.42,35832.8,
2011.424,35410.5,
2011.428,35416.3,
2011.432,35123.9,
2011.436,34673.5,
2011.44,34895.8,
2011.444,34879.1,
2011.448,35233.4,
2011.452,34963.8,
2011.456,34998,
2011.46,35445.6,
2011.464,35318.4,
2011.468,35221,
2011.472,35025.7,
2011.476,35110,
2011.48,35276.6,
2011.484,35399.4,
2011.488,35326.7,
2011.492,35347.9,
2011.496,35601.7,
2011.5,36188.9,
2011.504,36579.6,
2011.508,36558.1,
2011.512,36800.7,
2011.516,36847.1,
2011.52,36640.9,
2011.524,36468,
2011.528,36583.3,
2011.532,36499.9,
2011.536,36359.5,
2011.54,36178.6,
2011.544,36254.7,
2011.548,36164.6,
2011.552,36155.9,
2011.556,35781.4,
2011.56,35752,
2011.564,35341.7,
2011.568,35555.8,
2011.572,35755.5,
2011.576,35479.7,
2011.58,35341.3,
2011.584,35597.6,
2011.588,35917.8,
2011.592,35999.3,
2011.596,35730.7,
2011.6,34814.9,
2011.604,34484.4,
2011.608,33322.6,
2011.612,33697.9,
2011.616,31740.1,
2011.62,32381.6,
2011.624,32219.3,
2011.628,33590.3,
2011.632,33361.5,
2011.636,33901.1,
2011.64,33948.5,
2011.644,34049.6,
2011.648,33246.6,
2011.652,33136.9,
2011.656,33593.6,
2011.66,34675.5,
2011.664,34644.9,
2011.668,33904.4,
2011.672,34042.2,
2011.676,35016,
2011.68,35148.9,
2011.684,35721.1,
2011.688,35637.9,
2011.692,35134.4,
2011.696,33880,
2011.7,34439.3,
2011.704,35179.6,
2011.708,34712.4,
2011.712,33812.6,
2011.716,33792.6,
2011.72,33947.6,
2011.724,34661.8,
2011.728,35181.4,
2011.732,35077,
2011.736,34338,
2011.74,34019.2,
2011.744,32381.1,
2011.748,32588.4,
2011.752,33385.9,
2011.756,33783.7,
2011.76,33438.2,
2011.764,33686.2,
2011.768,33503.3,
2011.772,33133.9,
2011.776,32966.2,
2011.78,33000.3,
2011.784,33279.7,
2011.788,33005.1,
2011.792,33547.2,
2011.796,33681.8,
2011.8,34470.4,
2011.804,34584.8,
2011.808,34848.4,
2011.812,34125.7,
2011.816,35011.7,
2011.82,34523.3,
2011.824,34395.5,
2011.828,35020.7,
2011.832,35265.6,
2011.836,35290.1,
2011.84,35818.6,
2011.844,36727.2,
2011.848,36708.6,
2011.852,36160,
2011.856,35742.6,
2011.86,36579.1,
2011.864,36689.4,
2011.868,37024.6,
2011.872,37351.8,
2011.876,36553.9,
2011.88,36615.1,
2011.884,37555.6,
2011.888,37069.9,
2011.892,37293.4,
2011.896,36708.4,
2011.9,36110.7,
2011.904,36284.2,
2011.908,35969.6,
2011.912,35375.6,
2011.916,35323.6,
2011.92,34573,
2011.924,35558.2,
2011.928,35708.7,
2011.932,36829.1,
2011.936,36567.6,
2011.94,36756.1,
2011.944,37103.2,
2011.948,37071.2,
2011.952,37054.6,
2011.956,36641.3,
2011.96,37227.2,
2011.964,36471.4,
2011.968,36012.7,
2011.972,36006.9,
2011.976,36054.6,
2011.98,35587.8,
2011.984,36239.4,
2011.988,36628.1,
2011.992,37066.8,
2011.996,37041.4,
2012,37091.4,
2012.004,36644.9,
2012.008,37185.7,
2012.012,37077.5,
2012.016,37335,
2012.02,37384.3,
2012.024,37387.6,
2012.028,37017.9,
2012.032,36804.1,
2012.036,36785.3,
2012.04,37190.9,
2012.044,37307.6,
2012.048,37321,
2012.052,36548.6,
2012.056,36916.2,
2012.06,36601.2,
2012.064,37506.8,
2012.068,37680.1,
2012.072,37384.2,
2012.076,37195.7,
2012.08,36853.3,
2012.084,37212.9,
2012.088,37240.8,
2012.092,37184.7,
2012.096,37241.6,
2012.1,37422.7,
2012.104,37709.6,
2012.108,37711.2,
2012.112,38092.8,
2012.116,38062.4,
2012.12,38140.6,
2012.124,38242.3,
2012.128,38149.2,
2012.132,38204.3,
2012.136,37831.9,
2012.14,37864.6,
2012.144,38212.2,
2012.148,37914.7,
2012.152,38296.7,
2012.156,37859.5,
2012.16,37912.6,
2012.164,38027.8,
2012.168,37945.2,
2012.172,37785.7,
2012.176,38021.4,
2012.18,37816.7,
2012.184,38033.4,
2012.188,38327.4,
2012.192,38155.3,
2012.196,37487.6,
2012.2,37548.5,
2012.204,37815.4,
2012.208,37691,
2012.212,37590.2,
2012.216,38019.8,
2012.22,37971.4,
2012.224,38134.6,
2012.228,38258.4,
2012.232,38055.3,
2012.236,38434.5,
2012.24,38323.5,
2012.244,38334.9,
2012.248,38863.1,
2012.252,38956.3,
2012.256,38910.7,
2012.26,39125.4,
2012.264,39521.2,
2012.268,39908.5,
2012.272,39924.9,
2012.276,39398.9,
2012.28,39432.1,
2012.284,39035.2,
2012.288,39167.1,
2012.292,39357.8,
2012.296,38444,
2012.3,39054.8,
2012.304,39355.2,
2012.308,39330.1,
2012.312,39395.6,
2012.316,39354.9,
2012.32,38961.8,
2012.324,38849.1,
2012.328,39066,
2012.332,39212.2,
2012.336,39324.1,
2012.34,39461,
2012.344,39597.4,
2012.348,39580.1,
2012.352,39408.6,
2012.356,40045.5,
2012.36,39214.6,
2012.364,39122.8,
2012.368,39170.9,
2012.372,38888.8,
2012.376,38352.1,
2012.38,37939.6,
2012.384,37511.1,
2012.388,37261.2,
2012.392,36875.3,
2012.396,37512.4,
2012.4,37481.2,
2012.404,37422.4,
2012.408,37553.2,
2012.412,37486.3,
2012.416,37642.8,
2012.42,38126.9,
2012.424,38070.7,
2012.428,37872.9,
2012.432,37182.4,
2012.436,37059.8,
2012.44,37089.4,
2012.444,37274.8,
2012.448,37247.3,
2012.452,37323.9,
2012.456,37035.8,
2012.46,37271,
2012.464,37142.1,
2012.468,37440.5,
2012.472,37738.6,
2012.476,38060.8,
2012.48,38688.6,
2012.484,38973.6,
2012.488,38515.9,
2012.492,39071.5,
2012.496,39157.5,
2012.5,39339.1,
2012.504,39490.7,
2012.508,39637.7,
2012.512,40199.6,
2012.516,40108.9,
2012.52,40434.7,
2012.524,40353.4,
2012.528,40040.7,
2012.532,39831.6,
2012.536,39963.3,
2012.54,40049.6,
2012.544,40221.8,
2012.548,40268.4,
2012.552,40498.5,
2012.556,40910.8,
2012.56,41273,
2012.564,40747.5,
2012.568,40752.5,
2012.572,40808.7,
2012.576,40947.6,
2012.58,40697.9,
2012.584,40435.1,
2012.588,40977.3,
2012.592,41476.5,
2012.596,41333.1,
2012.6,40704.3,
2012.604,40805.4,
2012.608,40759,
2012.612,40998.4,
2012.616,41096.4,
2012.62,41070.2,
2012.624,40851.2,
2012.628,40677.5,
2012.632,40850,
2012.636,40366.3,
2012.64,40645,
2012.644,40792.6,
2012.648,40714.9,
2012.652,40547.5,
2012.656,40350,
2012.66,40096.6,
2012.664,40027.1,
2012.668,39879,
2012.672,40211.4,
2012.676,39972.9,
2012.68,39950.9,
2012.684,39908.9,
2012.688,39925.7,
2012.692,39421.6,
2012.696,39802.9,
2012.7,39549.4,
2012.704,39573.9,
2012.708,39987.1,
2012.712,40043.9,
2012.716,39991.2,
2012.72,39999,
2012.724,40248.4,
2012.728,40655.6,
2012.732,40693.5,
2012.736,40621.5,
2012.74,40591,
2012.744,40941.3,
2012.748,40500.4,
2012.752,40338.7,
2012.756,40561.2,
2012.76,40215.4,
2012.764,40333,
2012.768,40729.7,
2012.772,40799.2,
2012.776,41124.6,
2012.78,41199.3,
2012.784,41004.8,
2012.788,41421.7,
2012.792,41934.1,
2012.796,41757,
2012.8,41755.2,
2012.804,41470.1,
2012.808,41745.4,
2012.812,41665.5,
2012.816,42008.6,
2012.82,42518.4,
2012.824,42560,
2012.828,42592.8,
2012.832,42386.8,
2012.836,42122.3,
2012.84,42041.1,
2012.844,42095.2,
2012.848,41877.3,
2012.852,41836.9,
2012.856,41817.1,
2012.86,41599,
2012.864,41620,
2012.868,41761.8,
2012.872,41722.1,
2012.876,41720.6,
2012.88,41011,
2012.884,40830.6,
2012.888,40677.1,
2012.892,40859.9,
2012.896,41078.5,
2012.9,40750.4,
2012.904,40573.7,
2012.908,40830.6,
2012.912,41184,
2012.916,41668.1,
2012.92,42032.4,
2012.924,41919.6,
2012.928,41878.3,
2012.932,41769.4,
2012.936,41912.9,
2012.94,42090.7,
2012.944,41833.5,
2012.948,42323.8,
2012.952,42337.8,
2012.956,42416.3,
2012.96,42589.7,
2012.964,42797.7,
2012.968,43134.5,
2012.972,43183.3,
2012.976,43006.3,
2012.98,43050.9,
2012.984,43338.3,
2012.988,43826,
2012.992,43648,
2012.996,43637.7,
2013,43621.6,
2013.004,43533.4,
2013.008,43495.7,
2013.012,43469.9,
2013.016,43721.9,
2013.02,43705.8,
2013.024,44304.2,
2013.028,44370.6,
2013.032,44562.3,
2013.036,44625.9,
2013.04,44571.2,
2013.044,44862.5,
2013.048,44859.8,
2013.052,44888.1,
2013.056,44862.9,
2013.06,44748.1,
2013.064,44865.3,
2013.068,44943.3,
2013.072,45212.5,
2013.076,45223.9,
2013.08,45320.3,
2013.084,45443,
2013.088,45428.7,
2013.092,45575.9,
2013.096,45912.5,
2013.1,45908,
2013.104,45753.2,
2013.108,45278.1,
2013.112,45768.5,
2013.116,45768.5,
2013.12,45688.1,
2013.124,45570.7,
2013.128,45019.2,
2013.132,45089.4,
2013.136,45063.9,
2013.14,44873.4,
2013.144,44096.3,
2013.148,43878.3,
2013.152,44153,
2013.156,44141.9,
2013.16,44639.8,
2013.164,44299.6,
2013.168,44136.6,
2013.172,43875.7,
2013.176,43497.2,
2013.18,43489.2,
2013.184,43772.9,
2013.188,44121,
2013.192,43995.7,
2013.196,43871.3,
2013.2,44017.1,
2013.204,44159.6,
2013.208,43968.6,
2013.212,44322.5,
2013.216,44013.3,
2013.22,43965.4,
2013.224,43278.1,
2013.228,43348.5,
2013.232,42605.1,
2013.236,42060.6,
2013.24,42498,
2013.244,42531.1,
2013.248,42686.7,
2013.252,42900.8,
2013.256,43664.7,
2013.26,44077.1,
2013.264,43932.5,
2013.268,44113.5,
2013.272,43717.6,
2013.276,43566.7,
2013.28,43244.3,
2013.284,43431,
2013.288,43973.2,
2013.292,44380.8,
2013.296,44408.4,
2013.3,44004.3,
2013.304,42984.4,
2013.308,43223.7,
2013.312,42610.9,
2013.316,42460.2,
2013.32,42808.2,
2013.324,42914.2,
2013.328,43113.6,
2013.332,42294.9,
2013.336,42547.5,
2013.34,41897,
2013.344,41910.5,
2013.348,42263.5,
2013.352,42090,
2013.356,42602.1,
2013.36,42198,
2013.364,42406.7,
2013.368,42102.1,
2013.372,41682.6,
2013.376,41741.5,
2013.38,41766.9,
2013.384,41925.1,
2013.388,41905.2,
2013.392,41761.1,
2013.396,41806.7,
2013.4,41080.4,
2013.404,40548.4,
2013.408,40119,
2013.412,40505.3,
2013.416,40521.3,
2013.42,40144.6,
2013.424,40764,
2013.428,40639,
2013.432,40984.5,
2013.436,41588.3,
2013.44,41094.8,
2013.444,40750.4,
2013.448,40226.3,
2013.452,40579.1,
2013.456,40232.7,
2013.46,40721.4,
2013.464,39890.2,
2013.468,39480.4,
